school_code,school_name,specialty_code,specialty_name,min_score,yushu_sum,yushu_max,waiyu,shouxuan_subject
1101,"北京大学",556,"理科试验班类(理科基础类专业)",693,276,149,143,87
1102,"北京大学医学部",501,"基础医学(八年制本博连读)",681,270,139,137,86
1102,"北京大学医学部",502,"临床医学(八年制本博连读)",689,269,135,143,91
1102,"北京大学医学部",503,"临床医学",687,264,142,142,92
1102,"北京大学医学部",504,"口腔医学(八年制本博连读)",689,261,135,144,91
1102,"北京大学医学部",505,"口腔医学",684,267,139,140,90
1102,"北京大学医学部",506,"预防医学(七年制本硕连读)",679,256,134,141,92
1102,"北京大学医学部",507,"药学(六年制本硕连读)",679,258,135,139,91
1102,"北京大学医学部",509,"护理学",673,258,139,139,86
1103,"中国人民大学",504,"法学",669,253,133,133,93
1103,"中国人民大学",5J4,"理科试验班(经济学与数学创新人才班)",672,255,128,140,91
1103,"中国人民大学",5N1,"人工智能",674,252,138,142,90
1103,"中国人民大学",5N2,"计算机类",673,251,129,141,91
1103,"中国人民大学",5N3,"计算机类(图灵计算机拔尖人才班)",675,256,130,141,91
1103,"中国人民大学",5N4,"计算机类(金融与大数据技术创新人才班)",673,258,138,143,84
1103,"中国人民大学",5N6,"统计学类",673,251,129,144,87
1103,"中国人民大学",5N8,"统计学类(国民经济与数科创新人才班)",675,255,138,136,91
1103,"中国人民大学",5P2,"数学类(金融学与数学创新人才班)",675,255,131,138,90
1103,"中国人民大学",5P6,"理科试验班类(严济慈物理学拔尖人才班)",672,249,125,144,87
1104,"清华大学",51A,"临床医学类",692,274,146,144,94
1104,"清华大学",51B,"理科试验班(理科各专业)",693,270,144,138,93
1105,"北京交通大学",501,"理科试验班类(詹天佑试点班信息类)",640,241,123,135,79
1105,"北京交通大学",502,"理科试验班类(詹天佑试点班智能类)",641,252,139,122,87
1105,"北京交通大学",503,"自动化类(智能系统与智能制造)",632,239,121,132,78
1105,"北京交通大学",504,"电子信息类",636,243,129,135,83
1105,"北京交通大学",505,"计算机类",639,226,117,141,82
1105,"北京交通大学",506,"交通运输类",629,227,124,137,86
1105,"北京交通大学",507,"理科试验班",628,227,117,135,89
1105,"北京交通大学(民族班)",509,"经济管理试验班(民族班)",590,222,119,127,70
1105,"北京交通大学(中外合作)",521,"交通运输(中外合作办学)",606,228,115,131,72
1105,"北京交通大学(中外合作)",522,"机械电子工程(中外合作办学)",604,243,123,121,75
1105,"北京交通大学(中外合作)",523,"纳米材料与技术(中外合作办学)",595,219,115,129,77
1106,"北京航空航天大学",501,"计算机科学与技术(拔尖学生培养计划)",678,263,135,145,85
1106,"北京航空航天大学",502,"数学与应用数学(拔尖学生培养计划)",670,258,135,136,88
1106,"北京航空航天大学",506,"工科试验班类(未来空天领军计划)",676,257,135,139,94
1106,"北京航空航天大学",507,"工科试验班类(航空航天类)",665,260,141,139,81
1106,"北京航空航天大学",508,"网络空间安全(卓越人才培养试验班)",672,249,130,138,94
1106,"北京航空航天大学",510,"人工智能(卓越人才培养试验班)",674,257,131,139,89
1106,"北京航空航天大学",512,"工科试验班类(医工交叉试验班)",669,252,134,140,90
1106,"北京航空航天大学",514,"工科试验班类(计算与智能科学类)",669,257,134,141,87
1106,"北京航空航天大学",515,"工科试验班类(信息科学与技术类)",667,268,140,132,91
1106,"北京航空航天大学",521,"工科试验班类(未来工程师项目制育人试验班)",672,257,132,141,85
1106,"北京航空航天大学(中外合作)",527,"工科试验班类(中外合作办学，中法航空试验班)",643,246,130,135,78
1106,"北京航空航天大学(中外合作)",528,"工科试验班类(中外合作办学，中法未来科技试验班)",645,250,130,126,91
1106,"北京航空航天大学",544,"工科试验班类(量子科技先锋计划)",672,252,136,141,89
1107,"北京理工大学(珠海校区)",501,"工科试验班(卓越班)",670,258,130,139,90
1107,"北京理工大学(珠海校区)",502,"工科试验班(未来精工技术)",669,257,136,136,91
1107,"北京理工大学",503,"工科试验班(徐特立英才班)",665,266,144,134,73
1107,"北京理工大学",507,"工科试验班(信息科学技术)",662,242,125,138,95
1107,"北京理工大学",508,"工科试验班(电子信息实验班)",659,247,124,132,91
1107,"北京理工大学(中外合作)",5H1,"会计学(中外合作办学)",618,232,121,132,82
1107,"北京理工大学(中外合作)",5H5,"自动化(中外合作办学)",639,237,120,126,92
1108,"北京科技大学",502,"理科试验班(纳米科学与工程试验班)",642,247,124,131,82
1108,"北京科技大学",504,"工科试验班类(卓越工程人才)",631,235,120,126,87
1108,"北京科技大学",505,"理科试验班(拔尖人才计划)",640,237,126,140,81
1108,"北京科技大学",507,"安全工程",612,230,116,135,71
1108,"北京科技大学",50B,"材料科学与工程",621,231,120,129,82
1108,"北京科技大学",50C,"材料智能技术",620,230,118,130,81
1108,"北京科技大学",50D,"纳米材料与技术(前沿材料与未来技术)",635,230,119,132,85
1108,"北京科技大学",50E,"机械类",621,213,117,141,88
